						  The Restaurant - Description of the internal state

Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion				Table


State	State	State	State	State	State	State	State	State					 Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6
WAFOR	APPST	CHTWC	OGODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	PRSMN	CHTWC	OGODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	APPST	CHTWC	OGODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	TKODR	CHTWC	OGODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	TKODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
WAFOR	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
PRPCS	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
CLSSV	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
PRPCS	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	EJTML	CHTWC	CHTWC	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	EJTML	CHTWC	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	EJTML	CHTWC	EJTML	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	EJTML	CHTWC	CHTWC	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	EJTML	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	EJTML	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3		7		 1	 6	 0	 3	 4	 2	 5
