						  The Restaurant - Description of the internal state

	Chef	Waiter	Stu0	Stu1	Stu2	Stu3	Stu4	Stu5	Stu6	NCourse	NPortion			Table


	State	State	State	State	State	State	State	State	State				Seat0	Seat1	Seat2	Seat3	Seat4	Seat5	Seat6

	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	CHTWC	TKSTT	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	CHTWC	SELCS	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	PRSMN	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	TKODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	OGODR	3	7	6	2	0	1	5	3	4
	WAFOR	TKODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	WAFOR	TKODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3	7	6	2	0	1	5	3	4
	WAFOR	TKODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	WAFOR	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	PRPCS	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	PCODR	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	PRPCS	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	EJTML	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	EJTML	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	APPST	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DSHPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
	DLVPT	WTFPT	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	CHTWC	3	7	6	2	0	1	5	3	4
